direction,horizon_day,sample_count,avg_excess_return,avg_laggard_abs_return,avg_leader_abs_return,hit_rate,max_drawdown_excess,max_drawdown_laggard_abs
DIA leads / QQQ lags,1,15,-0.001215277247274001,-0.0030427043685922564,-0.0018274271213182555,0.5333333333333333,-0.03161062903195755,-0.06870494798700699
DIA leads / QQQ lags,2,15,-0.0003590946635441942,-0.002281209063118439,-0.0019221143995742447,0.5333333333333333,-0.02504755045874474,-0.07244197958294696
DIA leads / QQQ lags,3,15,-0.0023111695553572472,-0.002596510454578471,-0.000285340899221224,0.3333333333333333,-0.04102990719210964,-0.061327093329907933
DIA leads / QQQ lags,4,15,-0.0015504975045330068,-0.004032749072993076,-0.00248225156846007,0.4,-0.030407287373091507,-0.0626695553218124
DIA leads / QQQ lags,5,15,0.0004494039457505261,0.000405905454748449,-4.349849100207711e-05,0.5333333333333333,-0.02042561076065208,-0.029934557679145657
QQQ leads / DIA lags,1,8,-0.0008383357213693626,0.0020754450532341623,0.002913780774603525,0.75,-0.023751623563863955,-0.005540564336126819
QQQ leads / DIA lags,2,8,0.004527026991876057,0.0016320221526943124,-0.0028950048391817446,0.625,-0.037493825789989166,-0.0279520804481187
QQQ leads / DIA lags,3,8,0.0016955538328888992,0.005283372581511278,0.003587818748622379,0.5,-0.034087517705912784,-0.012317071429591264
QQQ leads / DIA lags,4,8,0.008876123598610411,0.004878346952865695,-0.003997776645744716,0.625,-0.035052683528676964,-0.026646535600576948
QQQ leads / DIA lags,5,8,0.010220835225835612,0.006338365496533646,-0.0038824697293019655,0.5,-0.029196205886024007,-0.022058032676099182
