setup_code,setup_definition,trigger_code,trigger_definition,high_lookback_days,leader,laggard,direction,horizon_day,sample_count,avg_excess_return,median_excess_return,avg_laggard_abs_return,median_laggard_abs_return,avg_leader_abs_return,median_leader_abs_return
S1,same-day strict non-confirmation,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,2,21,0.012780393593485368,0.02115011068047823,-0.0019094700642267935,0.007116719852174658,-0.014689863657712162,-0.014033390828303571
S1,same-day strict non-confirmation,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,3,21,0.006667043890909562,0.00230854918497736,0.002506860717955504,-0.00044972273113796923,-0.004160183172954059,-0.002758271916115329
S1,same-day strict non-confirmation,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,4,21,0.013964128771265268,0.0038780914953808754,-2.3044372552490022e-05,0.00011253094199870084,-0.013987173143817758,-0.0006988596207869735
S1,same-day strict non-confirmation,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,5,21,0.015959100875153055,0.0007589251420381249,0.000959496098577066,0.0009304055076158058,-0.014999604776575989,0.0018806282918444328
S1,same-day strict non-confirmation,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,1,11,-0.0007792547360126619,-0.002317586158875562,-0.0002230155545585033,0.0005215225092609632,0.0005562391814541586,0.003074489610758624
S1,same-day strict non-confirmation,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,2,11,-0.0002958856483615319,-0.0016736364951477345,0.0028170998479129265,0.0005774087880374701,0.003112985496274458,0.004852114743224556
S1,same-day strict non-confirmation,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,3,11,0.0003806042321327994,-0.0024381791657124285,0.0026982865507407,0.0021937096475459494,0.0023176823186079,-0.00020053459451541134
S1,same-day strict non-confirmation,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,4,11,0.0026593042222791434,0.00039740578288682826,0.007730141175358327,0.011224909622072454,0.005070836953079184,0.004906636050729274
S1,same-day strict non-confirmation,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,5,11,0.002538514673224271,0.0021729195113501243,0.008224869788911893,0.015630132117304463,0.005686355115687622,0.007756698740265966
S1,same-day strict non-confirmation,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,1,22,-0.0035840894611743838,-0.00644341245741431,-0.0017209174308760657,-0.0005784481298515276,0.0018631720302983183,0.0007050760130793421
S1,same-day strict non-confirmation,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,2,22,-0.003879169232499954,-0.0061559667629166315,-0.0006489394067203593,-0.0017543650057728621,0.0032302298257795947,0.001739996829085988
S1,same-day strict non-confirmation,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,3,22,-0.00019250038506005908,0.0033798167579989213,0.0026422853641850427,-0.00023125562256109955,0.0028347857492451015,-0.0008819061214374035
S1,same-day strict non-confirmation,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,4,22,0.003753956897681129,0.0007206265339140816,0.004092576470891043,0.000303235394596868,0.00033861957320991347,-0.002632424251847454
S1,same-day strict non-confirmation,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,5,22,0.008288171453747727,0.003972112610981293,0.007724279114157038,0.003549469853669107,-0.0005638923395906891,-0.00012809216709785964
S1,same-day strict non-confirmation,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,1,10,-0.00045381135929901674,-0.001435668218109698,-0.00026021639453143174,0.001147804497050764,0.00019359496476758497,0.0025235440190712888
S1,same-day strict non-confirmation,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,2,10,-5.259965486398288e-05,-0.0007148640216744218,0.0032924370762109413,0.004305533613842005,0.003345036731074924,0.005726621267085896
S1,same-day strict non-confirmation,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,3,10,0.0006624825719173221,-0.0003770394312324621,0.003385079424561155,0.003631475493453329,0.0027225968526438326,0.001037738207129879
S1,same-day strict non-confirmation,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,4,10,0.0029518811994949322,0.001511132433916984,0.0077436852048576865,0.011967887114210152,0.004791804005362754,0.0038233201573757425
S1,same-day strict non-confirmation,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,5,10,0.003732439909849716,0.0023637661072695715,0.010045107534246912,0.01766676720014182,0.006312667624397195,0.008763555154617242
S1,same-day strict non-confirmation,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,1,20,-0.0029373594856118733,-0.004454396945749506,-0.004015209284358922,-0.003158392287093248,-0.0010778497987470493,0.0007050760130793421
S1,same-day strict non-confirmation,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,2,20,-0.004662919718629127,-0.0061559667629166315,-0.003832603793595524,-0.0035894319107884765,0.0008303159250336034,0.0012329889503549518
S1,same-day strict non-confirmation,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,3,20,-0.003534735624149787,-0.013934850463730719,-0.0025348743185571675,-0.001446667161890236,0.0009998613055926197,-0.002300073741526798
S1,same-day strict non-confirmation,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,4,20,0.0003056744944257395,-0.007814108654938035,8.619588762929232e-05,-0.0003630700604797532,-0.00021947860679644716,-0.002777960553055403
S1,same-day strict non-confirmation,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,5,20,0.00414603546753764,-0.01132023638326185,0.003054743683901351,0.0015480777035113968,-0.001091291783636289,-0.00042264275731218603
S1,same-day strict non-confirmation,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,1,8,-0.0008645429495080514,-0.0024352766301866113,-0.001003585887907693,0.001147804497050764,-0.00013904293839964166,0.0025235440190712888
S1,same-day strict non-confirmation,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,2,8,-0.00020304960764801205,-0.004162437242635264,0.003167131553744179,0.004305533613842005,0.003370181161392191,0.005726621267085896
S1,same-day strict non-confirmation,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,3,8,-0.0011280678753875645,-0.005140618868417657,0.0011997692496440587,0.003631475493453329,0.002327837125031623,0.001037738207129879
S1,same-day strict non-confirmation,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,4,8,0.00020542085514572983,-0.0005215051435258911,0.005398674018634864,0.009378202378874434,0.005193253163489134,0.0038233201573757425
S1,same-day strict non-confirmation,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,5,8,0.00019560428084482162,0.0020981298515042046,0.006806079316469912,0.009713415143956294,0.006610475035625091,0.010482519764267617
S1,same-day strict non-confirmation,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,1,20,0.003913943707534856,0.00019711505337138835,-0.007705339847910058,-0.0040457114879640654,-0.011619283555444915,-0.0002672978217538313
S1,same-day strict non-confirmation,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,2,20,0.004277056742029506,0.005415608239513536,-0.008098162120153235,-0.0045765304497839,-0.01237521886218274,-0.0016195894569664415
S1,same-day strict non-confirmation,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,3,20,0.00939136880052297,0.0035357421348038987,-0.012238063773454067,-0.0031869274047710006,-0.021629432573977037,-0.002300073741526798
S1,same-day strict non-confirmation,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,4,20,0.011826124971779867,0.009829066305002243,-0.006811804534010929,-0.006475247175417531,-0.018637929505790796,-0.007244188810710539
S1,same-day strict non-confirmation,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,5,20,0.017884869611360092,0.014531915224859082,-0.00850994064466078,-0.004024285272830275,-0.026394810256020872,-0.012983837521347685
S2,rolling divergence,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,1,52,-0.0005594844156532971,-0.0002942471789028067,-0.0006066191264675464,0.0010271834739536967,-4.71347108142493e-05,0.0009152553175209022
S2,rolling divergence,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,2,52,-0.0024963002108214826,0.0014243767043821132,-0.002693466044123958,0.0022381240862660023,-0.00019716583330247532,-0.0020828626377705217
S2,rolling divergence,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,3,52,-0.0029123100700285077,-0.0017486704315643475,-0.00192582512622413,0.002138532691246753,0.0009864849438043777,0.0009871504725282865
S2,rolling divergence,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,4,52,-0.0019603830960937926,-0.002099299548382394,-0.00017373206329670884,0.0014560483978249827,0.0017866510327970836,-0.0016555308583645623
S2,rolling divergence,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,5,52,-0.001691356789308807,-0.0002218745156690738,0.0018205930412498184,0.0037066551191002883,0.0035119498305586252,0.00372804057734466
S2,rolling divergence,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,1,98,0.0004154670127568799,-0.0006379822125610612,-0.00027803035044783115,-5.4465974437090114e-05,-0.000693497363204711,0.0007050760130793421
S2,rolling divergence,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,2,98,-0.0003575886678346509,-0.0007592511327920715,-0.0014519932877303222,0.00011418682334174424,-0.0010944046198956712,0.0033561456685242685
S2,rolling divergence,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,3,98,0.0012254309343954206,-0.0005550213278229243,0.0009660731933069253,0.002055642251805656,-0.0002593577410884953,0.0040193607506776585
S2,rolling divergence,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,4,98,0.001002731161150846,-0.00022954378598671887,2.8505238692505203e-06,0.0034574861436089677,-0.0009998806372815954,0.0036870299295956865
S2,rolling divergence,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,5,98,-0.0003323408697873874,-0.0010416651811271382,-0.0002082911417526594,0.005293960671381992,0.00012404972803472798,0.005488035641102673
S2,rolling divergence,T1,relative-strength turn,128,DIA,QQQ,DIA leads / QQQ lags,1,47,-1.568566813311908e-05,0.0006634356967532007,-0.00011091248081535172,0.0013596095412429232,-9.522681268223265e-05,0.0008638426104019548
S2,rolling divergence,T1,relative-strength turn,128,DIA,QQQ,DIA leads / QQQ lags,2,47,-0.00198556557111282,0.0023626675493728655,-0.002167083349171238,0.0024094536211387574,-0.00018151777805841776,-0.0018597281812166022
S2,rolling divergence,T1,relative-strength turn,128,DIA,QQQ,DIA leads / QQQ lags,3,47,-0.0016739274163406622,-0.001151085172355848,-0.0008003131708828568,0.005686504240424828,0.0008736142454578054,0.0018885559211796465
S2,rolling divergence,T1,relative-strength turn,128,DIA,QQQ,DIA leads / QQQ lags,4,47,-0.0005863780857873415,0.0003944848029340253,0.0012575464669695121,0.005553444028508103,0.0018439245527568536,-0.0022018135226309354
S2,rolling divergence,T1,relative-strength turn,128,DIA,QQQ,DIA leads / QQQ lags,5,47,-0.00042002819665616317,0.0004611509914663747,0.0032902128992671103,0.0037066551191002883,0.0037102410959232736,0.0031429302127967684
S2,rolling divergence,T1,relative-strength turn,128,QQQ,DIA,QQQ leads / DIA lags,1,82,-9.615260966800283e-05,-0.0006379822125610612,-0.00017265105306156524,0.0010835381519608278,-7.649844339356242e-05,0.003027377953876087
S2,rolling divergence,T1,relative-strength turn,128,QQQ,DIA,QQQ leads / DIA lags,2,82,-0.001677729861310752,-0.001435304616697719,-0.001165216939748691,3.1741397034990015e-05,0.0005125129215620613,0.0036052246431219626
S2,rolling divergence,T1,relative-strength turn,128,QQQ,DIA,QQQ leads / DIA lags,3,82,-0.0005794819840406344,-0.0016971472935503051,0.00046390659981674,0.0020536415357435,0.0010433885838573745,0.00482810293699687
S2,rolling divergence,T1,relative-strength turn,128,QQQ,DIA,QQQ leads / DIA lags,4,82,-8.850105735997278e-05,-0.0012466716569080605,-0.000932912040687659,0.0034574861436089677,-0.0008444109833276863,0.0031017131133452835
S2,rolling divergence,T1,relative-strength turn,128,QQQ,DIA,QQQ leads / DIA lags,5,82,-0.0009647472537424662,-0.002086129462531172,-0.0019428092558657858,0.0034826940071304158,-0.0009780620021233196,0.004931981256401818
S2,rolling divergence,T1,relative-strength turn,252,DIA,QQQ,DIA leads / QQQ lags,1,43,-0.001314567021773959,-0.00041940915406812884,-0.0014758849011177809,-0.0003461858361303305,-0.0001613178793438219,7.262468329938265e-05
S2,rolling divergence,T1,relative-strength turn,252,DIA,QQQ,DIA leads / QQQ lags,2,43,-0.003755446860314446,0.0023626675493728655,-0.0034009559747580935,0.0024094536211387574,0.00035449088555635237,0.0009485204522297064
S2,rolling divergence,T1,relative-strength turn,252,DIA,QQQ,DIA leads / QQQ lags,3,43,-0.003395125350174427,-0.0017486704315643475,-0.0021527351029263612,0.0017082650284387935,0.0012423902472480659,0.0019384926443277717
S2,rolling divergence,T1,relative-strength turn,252,DIA,QQQ,DIA leads / QQQ lags,4,43,-0.002582388632096493,-0.002099299548382394,-0.0002533430770907074,0.0014560483978249827,0.0023290455550057853,-0.0009895625088197635
S2,rolling divergence,T1,relative-strength turn,252,DIA,QQQ,DIA leads / QQQ lags,5,43,-0.002881752250396694,-0.0009049000228045223,0.001081276225663145,0.0037066551191002883,0.003963028476059839,0.004313150941892552
