setup_code,setup_definition,high_lookback_days,leader,laggard,direction,setup_idx,setup_date,trigger_code,trigger_window_days,trigger_idx,trigger_date,horizon_day,laggard_abs_return,leader_abs_return,excess_return
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_1d_turn,1,3153,2018-07-13,1,0.0018786534231862717,-0.0023944326650084946,0.004273086088194766
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_1d_turn,1,3153,2018-07-13,2,0.004316583886077696,0.0036743803741350334,0.0006422035119426628
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_1d_turn,1,3153,2018-07-13,3,0.007314498260565072,0.0017815150512616729,0.005532983209303399
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_1d_turn,1,3153,2018-07-13,4,0.0023581246264623434,-0.003229425760309379,0.0055875503867717224
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_1d_turn,1,3153,2018-07-13,5,0.0022301101271062773,-0.0034518584199602076,0.005681968547066485
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_2d_turn,2,3154,2018-07-16,1,0.002433359024630155,0.006083379281208057,-0.0036500202565779016
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_2d_turn,2,3154,2018-07-16,2,0.005425651917830399,0.004185970741348077,0.0012396811764823212
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_2d_turn,2,3154,2018-07-16,3,0.0004785721321018954,-0.0008369972288061467,0.001315569360908042
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_2d_turn,2,3154,2018-07-16,4,0.0003507976766639054,-0.0010599637668187167,0.0014107614434826221
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_2d_turn,2,3154,2018-07-16,5,-0.0003676602359402592,0.0021209121309551104,-0.0024885723668953696
