setup_code,setup_definition,trigger_code,trigger_window_days,high_lookback_days,direction,horizon_day,sample_count,avg_excess_return,median_excess_return,avg_laggard_abs_return,median_laggard_abs_return,avg_leader_abs_return,median_leader_abs_return
S1,same-day strict non-confirmation,T1_1d_turn,1,60,QQQ leads / DIA lags,1,26,0.005048054910918399,0.003692882128623509,0.002173827699716003,0.0014050106766235748,-0.002874227211202396,-0.0016785790544484036
S1,same-day strict non-confirmation,T1_1d_turn,1,60,QQQ leads / DIA lags,2,26,0.003627229670552926,-0.0012838684357130425,0.00568937621566796,0.007702899317088896,0.0020621465451150342,0.0034125525320589656
S1,same-day strict non-confirmation,T1_1d_turn,1,60,QQQ leads / DIA lags,3,26,0.004756697251822104,0.005334494865451456,0.005892350203023016,0.0051237732203990305,0.0011356529512009128,-0.00096452820711318
S1,same-day strict non-confirmation,T1_1d_turn,1,60,QQQ leads / DIA lags,4,26,0.004045794874807078,0.006002951268875345,0.00791762124954627,0.00571118345439392,0.0038718263747391938,-0.0023972643030004126
S1,same-day strict non-confirmation,T1_1d_turn,1,60,QQQ leads / DIA lags,5,26,0.00920360446557651,0.016044219833345807,0.008642854482051415,0.004753377393312941,-0.0005607499835250961,-0.00045212990932119723
S1,same-day strict non-confirmation,T1_1d_turn,1,128,QQQ leads / DIA lags,1,23,0.005289315037932488,0.0010573992210045624,0.0009015452086739682,0.0009313679300608779,-0.00438776982925852,-0.002990887886328397
S1,same-day strict non-confirmation,T1_1d_turn,1,128,QQQ leads / DIA lags,2,23,0.003621195242693447,0.006006817282417365,0.0047771452537625275,0.007702899317088896,0.0011559500110690803,0.000535791212025849
S1,same-day strict non-confirmation,T1_1d_turn,1,128,QQQ leads / DIA lags,3,23,0.004345122622235235,0.00020264895097965585,0.005272486300011401,0.004346368856702698,0.000927363677776166,-0.0009579207238323839
S1,same-day strict non-confirmation,T1_1d_turn,1,128,QQQ leads / DIA lags,4,23,0.003382723139838687,0.0004964003779690529,0.008109322134358622,0.00571118345439392,0.0047265989945199345,0.0010871103144365346
S1,same-day strict non-confirmation,T1_1d_turn,1,128,QQQ leads / DIA lags,5,23,0.008856020306715395,0.008084478067806988,0.008528557391875679,0.00454970514250963,-0.00032746291483971667,-0.00042264275731218603
S1,same-day strict non-confirmation,T1_1d_turn,1,252,QQQ leads / DIA lags,1,22,0.008958796712192725,0.003692882128623509,-0.0001200299872686772,0.001953091883483582,-0.009078826699461402,-0.0023075596410184196
S1,same-day strict non-confirmation,T1_1d_turn,1,252,QQQ leads / DIA lags,2,22,0.006028278487628925,0.006006817282417365,5.637309527711293e-05,0.006612733571733198,-0.005971905392351812,-0.00496609262708575
S1,same-day strict non-confirmation,T1_1d_turn,1,252,QQQ leads / DIA lags,3,22,0.0079159705648364,0.005334494865451456,-0.0003927252986703085,0.005242779781541418,-0.008308695863506708,-0.004287852258847313
S1,same-day strict non-confirmation,T1_1d_turn,1,252,QQQ leads / DIA lags,4,22,0.007105377615629475,0.008236077641501138,0.005862820828289453,0.006823607918244656,-0.001242556787340022,-0.006005026429113769
S1,same-day strict non-confirmation,T1_1d_turn,1,252,QQQ leads / DIA lags,5,22,0.014685478758339659,0.011293286586667117,0.0008356466459248924,-0.000596534370029489,-0.013849832112414766,-0.008401411540911785
S1,same-day strict non-confirmation,T1_2d_turn,2,60,QQQ leads / DIA lags,1,26,-0.0029281392077131806,-0.0008914394075709153,0.0017938626955886984,0.0011730080126924891,0.0047220019033018795,0.0007050760130793421
S1,same-day strict non-confirmation,T1_2d_turn,2,60,QQQ leads / DIA lags,2,26,0.0011189633391706986,0.00020794909404298068,0.004415116848146285,0.007116719852174658,0.0032961535089755865,0.002569279612932851
S1,same-day strict non-confirmation,T1_2d_turn,2,60,QQQ leads / DIA lags,3,26,0.0009755131816929177,0.00230854918497736,0.005804016283766012,-0.00023125562256109955,0.004828503102073094,-0.0027438435819745477
S1,same-day strict non-confirmation,T1_2d_turn,2,60,QQQ leads / DIA lags,4,26,0.0063321938988846966,0.0011110760031341482,0.007631865010586342,0.0016686190813129942,0.0012996711117016458,-0.0008794116938028451
S1,same-day strict non-confirmation,T1_2d_turn,2,60,QQQ leads / DIA lags,5,26,0.0029286060283490543,-0.000950222784228627,0.007567900954433036,0.0022399376806424565,0.004639294926083982,0.0018806282918444328
S1,same-day strict non-confirmation,T1_2d_turn,2,128,QQQ leads / DIA lags,1,23,-0.0021861046791416417,0.00019711505337138835,0.0008744147708026774,0.00036815183447891364,0.003060519449944319,0.0007050760130793421
S1,same-day strict non-confirmation,T1_2d_turn,2,128,QQQ leads / DIA lags,2,23,0.00047335947118672903,-0.003209940383368748,0.0037314615773026273,0.007116719852174658,0.0032581021061158983,0.004090231624984453
