rule_id,family,lookback,hold,total_roundtrip_cost_bps,avg_net_excess,median_net_excess,hit_rate_net,trade_count_nonoverlap
T0_252_4,T0,252,4,0,0.0010321381818301334,-0.0029266523829973856,0.4,10
T0_252_4,T0,252,4,10,3.2138181830132503e-05,-0.003926652382997386,0.3,10
T0_252_4,T0,252,4,20,-0.0009678618181698676,-0.004926652382997386,0.3,10
T0_252_4,T0,252,4,40,-0.0029678618181698683,-0.006926652382997386,0.3,10
T0_252_5,T0,252,5,0,-0.000872265805803385,0.001349535329133289,0.5,10
T0_252_5,T0,252,5,10,-0.001872265805803386,0.000349535329133289,0.5,10
T0_252_5,T0,252,5,20,-0.002872265805803387,-0.000650464670866711,0.5,10
T0_252_5,T0,252,5,40,-0.004872265805803387,-0.002650464670866711,0.4,10
T0_60_4,T0,60,4,0,-0.00024757075277984493,-0.005202322375581825,0.35714285714285715,14
T0_60_4,T0,60,4,10,-0.0012475707527798458,-0.006202322375581825,0.35714285714285715,14
T0_60_4,T0,60,4,20,-0.0022475707527798462,-0.007202322375581825,0.35714285714285715,14
T0_60_4,T0,60,4,40,-0.004247570752779846,-0.009202322375581825,0.35714285714285715,14
T0_60_5,T0,60,5,0,-0.0011858786813743907,-0.00024766894618566404,0.5,14
T0_60_5,T0,60,5,10,-0.002185878681374392,-0.001247668946185664,0.5,14
T0_60_5,T0,60,5,20,-0.0031858786813743927,-0.002247668946185664,0.5,14
T0_60_5,T0,60,5,40,-0.005185878681374392,-0.004247668946185664,0.35714285714285715,14
T1_252_4,T1,252,4,0,0.00865700665430764,9.072304857138391e-06,0.5714285714285714,7
T1_252_4,T1,252,4,10,0.007657006654307638,-0.0009909276951428616,0.42857142857142855,7
T1_252_4,T1,252,4,20,0.006657006654307638,-0.0019909276951428617,0.42857142857142855,7
T1_252_4,T1,252,4,40,0.0046570066543076384,-0.003990927695142862,0.42857142857142855,7
T1_252_5,T1,252,5,0,0.010063003704486508,0.002590476541590059,0.5714285714285714,7
T1_252_5,T1,252,5,10,0.009063003704486507,0.0015904765415900588,0.5714285714285714,7
T1_252_5,T1,252,5,20,0.008063003704486506,0.0005904765415900588,0.5714285714285714,7
T1_252_5,T1,252,5,40,0.006063003704486507,-0.0014095234584099413,0.42857142857142855,7
T1_60_4,T1,60,4,0,0.00955947357066129,0.001186034725741747,0.6666666666666666,12
T1_60_4,T1,60,4,10,0.008559473570661289,0.00018603472574174693,0.5,12
T1_60_4,T1,60,4,20,0.007559473570661289,-0.0008139652742582531,0.4166666666666667,12
T1_60_4,T1,60,4,40,0.0055594735706612905,-0.002813965274258253,0.4166666666666667,12
T5_252_4,T5,252,4,0,0.010000022858334678,0.00051780516241684,0.5714285714285714,7
T5_252_4,T5,252,4,10,0.009000022858334678,-0.00048219483758315997,0.42857142857142855,7
T5_252_4,T5,252,4,20,0.008000022858334677,-0.00148219483758316,0.42857142857142855,7
T5_252_4,T5,252,4,40,0.0060000228583346775,-0.00348219483758316,0.42857142857142855,7
T5_252_5,T5,252,5,0,0.013186055666299283,0.005019862788773866,0.5714285714285714,7
T5_252_5,T5,252,5,10,0.012186055666299283,0.004019862788773866,0.5714285714285714,7
T5_252_5,T5,252,5,20,0.011186055666299282,0.0030198627887738656,0.5714285714285714,7
T5_252_5,T5,252,5,40,0.009186055666299282,0.0010198627887738655,0.5714285714285714,7
T5_60_5,T5,60,5,0,0.00916141186793289,0.0032536186882072826,0.6,10
T5_60_5,T5,60,5,10,0.008161411867932889,0.0022536186882072826,0.6,10
T5_60_5,T5,60,5,20,0.007161411867932887,0.0012536186882072826,0.5,10
T5_60_5,T5,60,5,40,0.005161411867932888,-0.0007463813117927175,0.5,10
